Company Name,Industry,Symbol,Disabled
360 ONE WAM Ltd.,Financial Services,360ONE
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS
Aavas Financiers Ltd.,Financial Services,AAVAS
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM
Aether Industries Ltd.,Chemicals,AETHER
Affle (India) Ltd.,Information Technology,AFFLE
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE
Allcargo Logistics Ltd.,Services,ALLCARGO
Alok Industries Ltd.,Textiles,ALOKINDS
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT
Amber Enterprises India Ltd.,Consumer Durables,AMBER
Angel One Ltd.,Financial Services,ANGELONE
Anupam Rasayan India Ltd.,Chemicals,ANURAS
Apar Industries Ltd.,Capital Goods,APARINDS
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS
Archean Chemical Industries Ltd.,Chemicals,ACI
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA
Aster DM Healthcare Ltd.,Healthcare,ASTERDM
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED
BEML Ltd.,Capital Goods,BEML
BLS International Services Ltd.,Consumer Services,BLS
BSE Ltd.,Financial Services,BSE
Balaji Amines Ltd.,Chemicals,BALAMINES
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI
Birla Corporation Ltd.,Construction Materials,BIRLACORPN
Birlasoft Ltd.,Information Technology,BSOFT
Blue Star Ltd.,Consumer Durables,BLUESTARCO
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC
Borosil Renewables Ltd.,Capital Goods,BORORENEW
Brigade Enterprises Ltd.,Realty,BRIGADE
Brightcom Group Ltd.,Information Technology,BCG
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL
CESC Ltd.,Power,CESC
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA
CSB Bank Ltd.,Financial Services,CSBBANK
Campus Activewear Ltd.,Consumer Durables,CAMPUS
Can Fin Homes Ltd.,Financial Services,CANFINHOME
Capri Global Capital Ltd.,Financial Services,CGCL
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND
Ceat Ltd.,Automobile and Auto Components,CEATLTD
Central Bank of India,Financial Services,CENTRALBK
Central Depository Services (India) Ltd.,Financial Services,CDSL
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX
Cera Sanitaryware Ltd,Consumer Durables,CERA
Chalet Hotels Ltd.,Consumer Services,CHALET
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG
City Union Bank Ltd.,Financial Services,CUB
Clean Science and Technology Ltd.,Chemicals,CLEAN
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP
Computer Age Management Services Ltd.,Financial Services,CAMS
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN
CreditAccess Grameen Ltd.,Financial Services,CREDITACC
Cyient Ltd.,Information Technology,CYIENT
DCM Shriram Ltd.,Diversified,DCMSHRIRAM
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT
Delta Corp Ltd.,Consumer Services,DELTACORP
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY
EIH Ltd.,Consumer Services,EIHOTEL
EPL Ltd.,Capital Goods,EPL
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP
Engineers India Ltd.,Construction,ENGINERSIN
Epigral Ltd.,Chemicals,EPIGRAL
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK
Eris Lifesciences Ltd.,Healthcare,ERIS
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND
FDC Ltd.,Healthcare,FDC
Fine Organic Industries Ltd.,Chemicals,FINEORG
Finolex Cables Ltd.,Capital Goods,FINCABLES
Finolex Industries Ltd.,Capital Goods,FINPIPE
Firstsource Solutions Ltd.,Services,FSL
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR
G R Infraprojects Ltd.,Construction,GRINFRA
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE
Glenmark Life Sciences Ltd.,Healthcare,GLS
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK
Global Health Ltd.,Healthcare,MEDANTA
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS
Godawari Power & Ispat Ltd.,Capital Goods,GPIL
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP
Granules India Ltd.,Healthcare,GRANULES
Graphite India Ltd.,Capital Goods,GRAPHITE
Great Eastern Shipping Co. Ltd.,Services,GESHIP
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC
Gujarat Pipavav Port Ltd.,Services,GPPL
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL
H.E.G. Ltd.,Capital Goods,HEG
HFCL Ltd.,Telecommunication,HFCL
HLE Glascoat Ltd.,Capital Goods,HLEGLAS
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO
IDBI Bank Ltd.,Financial Services,IDBI
IDFC Ltd.,Financial Services,IDFC
IIFL Finance Ltd.,Financial Services,IIFL
IRB Infrastructure Developers Ltd.,Construction,IRB
IRCON International Ltd.,Construction,IRCON
ITI Ltd.,Telecommunication,ITI
India Cements Ltd.,Construction Materials,INDIACEM
Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART
Indian Energy Exchange Ltd.,Financial Services,IEX
Indian Overseas Bank,Financial Services,IOB
Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS
Infibeam Avenues Ltd.,Financial Services,INFIBEAM
Ingersoll Rand (India) Ltd.,Capital Goods,INGERRAND
Intellect Design Arena Ltd.,Information Technology,INTELLECT
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM
JBM Auto Ltd.,Automobile and Auto Components,JBMA,x
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI
JK Paper Ltd.,Forest Materials,JKPAPER
JM Financial Ltd.,Financial Services,JMFINANCIL
Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO
Jindal Saw Ltd.,Capital Goods,JINDALSAW
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA
Justdial Ltd.,Consumer Services,JUSTDIAL
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB
KEI Industries Ltd.,Capital Goods,KEI
KNR Constructions Ltd.,Construction,KNRCON
KRBL Ltd.,Fast Moving Consumer Goods,KRBL
KSB Ltd.,Capital Goods,KSB
Kalpataru Projects International Ltd.,Construction,KPIL
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA
Kaynes Technology India Ltd.,Capital Goods,KAYNES
Kec International Ltd.,Capital Goods,KEC
Kfin Technologies Ltd.,Financial Services,KFINTECH
Kirloskar Ferrous Industries Ltd.,Metals & Mining,KIRLFER
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS
Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH
Latent View Analytics Ltd.,Information Technology,LATENTVIEW
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE
Lux Industries Ltd.,Textiles,LUXIND
MMTC Ltd.,Services,MMTC
MTAR Technologies Ltd.,Capital Goods,MTARTECH
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE
Manappuram Finance Ltd.,Financial Services,MANAPPURAM
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL
Mastek Ltd.,Information Technology,MASTEK
Medplus Health Services Ltd.,Consumer Services,MEDPLUS
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS
